moca_aid,nmem
ABDMG,768
CUMA,640
CHYA,621
HYA,471
THA,351
COL,339
THEIA506,287
CRIUS31,262
BPMG,251
CRIUS203,202
ARG,179
THEIA595,171
CARN,162
CRIUS207,156
RHEA330,155
CAR,150
RHEA273,140
THEIA301,136
MEL4,123
CRIUS209,123
CBER,117
CVCA,108
THEIA678,108
MEL5,106
SCOCEN,106
RHEA192,102
HSC759,101
GRX,98
USCO,91
HSC453,87
TWA,87
CRIUS155,86
FORH,82
THEIA133,81
LCC,78
RHEA331,75
CRIUS64,73
RHEA376,72
GRSCO,72
CRIUS223,71
CCBER,71
RHEA450,68
RHEA172,65
RHEA364,65
THEIA676,63
RHEA121,63
CASMG,62
THEIA507,62
HSC1580,60
PERI,58
CRIUS224,58
CRIUS173,55
THEIA509,55
HSC396,54
RHEA223,54
RHEA167,54
THEIA905,54
CRIUS197,53
HR1614MG,53
RHEA222,53
RHEA395,50
VCA,46
RHEA290,45
RHEA250,45
RHEA444,45
UCL,44
RHEA296,43
RHEA208,43
RHEA116,42
RHEA90,40
RHEA329,40
RHEA190,40
HSC1347,40
RHEA323,39
ZETAH,39
RHEA285,39
CRIUS138,38
OCEMG,38
CRIUS198,37
RHEA198,36
RHEA199,36
CRIUS136,35
CRIUS13,35
SHYA,35
COH51,35
SVCA,35
RHEA80,34
RHEA348,33
CIC2391,32
CWNU1066,32
CRIUS211,32
PLE,31
CVUL,31
RHEA23,31
RHEA262,31
THEIA1273,31
MEL1,31
RHEA267,30
CRIUS205,30
OCT,30
RHEA299,30
HSC2283,30
CRIUS57,29
OH45,29
RHEA448,29
OH33,29
OCTN,29
RHEA166,29
CRIUS23,28
RHEA55,28
RHEA295,28
RHEA409,28
RHEA459,28
HSC1566,28
CRIUS210,27
CRIUS61,27
RHEA276,27
RHEA19,26
CRIUS22,26
RHEA464,26
RHEA209,26
RHEA300,26
THEIA425,26
RHEA52,26
CRIUS135,26
CRIUS81,25
CRIUS213,25
RHEA136,25
CRIUS65,25
RHEA86,24
CRIUS91,24
RHEA95,24
RHEA34,24
RHEA195,24
CRIUS104,24
RHEA259,24
GRSCOS27C,24
CRIUS106,23
CRIUS192,23
RHEA374,23
GRSCOS13,23
RHEA439,23
RHEA346,23
CRIUS103,23
RHEA471,23
THEIA1274,22
THEIA1089,22
SIGPUP,22
CRIUS140,22
UMA,22
RHEA231,22
RHEA180,22
CRIUS37,21
RHEA443,21
RHEA106,21
RHEA325,21
RHEA338,21
XFOR,21
CPL8,21
RHEA210,21
FCCN,21
EPSIND,21
RHEA107,20
COH23,20
RHEA235,20
CRIUS222,20
RHEA449,20
RHEA311,20
CRIUS73,20
RHEA310,20
RHEA168,20
RHEA308,20
THOR,20
CRIUS92,20
RHEA30,20
CRIUS170,20
RHEA385,19
RHEA437,19
RHEA76,19
CRIUS149,19
RHEA362,18
RHEA266,18
RHEA454,18
RHEA84,18
RHEA100,18
CRIUS157,18
CRIUS44,18
RHEA219,18
THEIA1345,18
RHEA201,18
RHEA132,18
CRIUS131,18
RHEA62,17
SCYA108,17
CASTAU,17
RHEA88,17
RHEA233,17
RHEA74,17
RHEA178,17
CRIUS16,17
RHEA89,17
HSC1470,17
THEIA1275,17
RHEA32,17
HLY,17
CRIUS53,17
RHEA272,16
CRIUS63,16
RHEA28,16
CRIUS15,16
CRIUS115,16
EPSC,16
SIXCYG,16
CRIUS108,16
CPL9,16
RHEA112,16
RHEA174,16
RHEA50,16
RHEA102,16
RHEA60,16
CRIUS186,15
CRIUS49,15
CRIUS4,15
RHEA39,15
RHEA14,15
CRIUS129,15
HSC2676,15
RHEA10,15
CRIUS43,15
RHEA56,15
RHEA248,15
RHEA126,15
RHEA312,15
RHEA119,15
RHEA63,15
RHEA494,15
RHEA51,15
RHEA368,15
RHEA191,15
RHEA58,14
CRIUS117,14
TAU,14
VUL,14
RHEA65,14
RHEA78,14
THEIA677,14
RHEA343,14
CRIUS50,14
RHEA164,14
CRIUS33,14
ETAC,14
CRIUS134,14
CRIUS76,14
CRIUS30,14
RHEA57,14
RHEA129,14
RHEA240,14
RHEA249,14
RHEA45,14
RHEA81,13
CRIUS96,13
RHEA41,13
RHEA103,13
RHEA47,13
RHEA452,13
CRIUS36,13
RHEA42,13
CRIUS32,13
RHEA196,13
RHEA20,13
HSC1684,13
RHEA36,13
RHEA44,13
RHEA93,13
RHEA315,13
RHEA243,13
RHEA144,13
CRIUS133,13
RHEA217,13
RHEA271,13
RHEA104,13
RHEA232,12
RHEA183,12
RHEA38,12
RHEA426,12
RHEA12,12
RHEA77,12
RHEA313,12
RHEA92,12
RHEA225,12
RHEA214,12
HSC1077,12
RHEA245,12
RHEA70,12
CRIUS55,12
RHEA265,12
CRIUS162,12
RHEA366,12
RHEA355,12
CRIUS206,12
CRIUS105,12
CRIUS111,12
RHEA96,12
RHEA224,12
RHEA241,12
UMAMG,12
HSC719,11
CRIUS2,11
RHEA17,11
RHEA0,11
CRIUS38,11
RHEA16,11
CRIUS19,11
RHEA143,11
RHEA236,11
HSC2705,11
RHEA165,11
RHEA247,11
RHEA149,11
RHEA347,11
CRIUS21,11
CRIUS118,11
RHEA302,11
RHEA170,11
RHEA193,11
RHEA101,11
RHEA75,11
RHEA21,11
HSC1152,11
CRIUS72,10
CRIUS219,10
RHEA286,10
CRIUS52,10
CRIUS86,10
CRIUS62,10
HSC2971,10
VCAN,10
RHEA5,10
GRSCOS9,10
CRIUS71,10
CRIUS60,10
CAPER,10
OH46,10
RHEA284,10
RHEA229,10
RHEA179,10
RHEA79,10
CRIUS54,10
CRIUS6,10
RHEA177,10
CRIUS107,10
RHEA147,10
COH59,9
RHEA465,9
RHEA37,9
RHEA153,9
CRIUS74,9
RHEA26,9
RHEA46,9
RATZSCO23,9
RHEA29,9
RHEA68,9
CRIUS87,9
RHEA194,9
RHEA9,9
RHEA145,9
CRIUS8,9
RHEA69,9
RHEA105,9
RHEA118,9
SUN1,9
RHEA33,9
RHEA341,8
CRIUS10,8
RHEA202,8
RHEA163,8
RHEA24,8
RHEA53,8
RHEA162,8
RHEA154,8
RATZSCO16,8
RHEA200,8
RHEA321,8
CRIUS17,8
RHEA13,8
CRIUS68,8
RHEA120,8
RHEA130,8
CRIUS1,8
CRIUS177,8
HSC1537,8
CRIUS161,8
RHEA43,8
CRIUS18,8
RHEA22,8
RHEA218,8
CHER2,8
RHEA207,8
RHEA344,8
RHEA394,8
RHEA383,8
RHEA171,8
GRTAU,8
RHEA6,8
RHEA83,8
CHA,7
AUSC,7
RHEA87,7
RHEA396,7
THEIA1004,7
RHEA73,7
CRIUS3,7
RHEA293,7
RHEA54,7
RHEA261,7
GRSCOS27E,7
ROPH,7
CRIUS56,7
RHEA204,7
CRIUS168,7
CRIUS40,7
RHEA49,7
CRIUS27,7
CRIUS93,7
HSC1195,7
HSC517,7
CRIUS11,6
BETATUC,6
CRIUS165,6
RHEA258,6
RATZSCO20,6
CRIUS122,6
RHEA372,6
CRIUS34,6
RHEA109,6
CRIUS137,6
SIR,6
RHEA122,6
RHEA333,6
THEIA907,6
RHEA8,6
CHER3,6
CRIUS29,6
CRIUS5,6
RHEA213,6
HSC1964,5
_118TAU,5
RHEA7,5
CRIUS39,5
RHEA4,5
RHEA1,5
RHEA474,5
RHEA3,5
RHEA140,5
RHEA176,5
RHEA185,5
CRIUS127,5
HSC103,5
THEIA784,5
GRSCOS27,5
CRIUS70,5
RHEA110,5
IC348,5
RHEA340,5
GRSCOS2,5
CRIUS94,5
THEIA53,5
CRIUS9,5
CRIUS67,5
CRIUS204,5
CRIUS212,5
RHEA377,5
RHEA353,5
CRIUS51,5
SPL9,4
RHEA294,4
CRIUS101,4
CRIUS99,4
CRIUS125,4
RHEA369,4
THEIA1347,4
CRIUS151,4
RHEA2,4
RHEA15,4
RHEA148,4
RHEA40,4
RATZSCO21,4
CRIUS208,4
RHEA91,4
RHEA322,4
